
=== ALGORITMO: STAT ===
League;Match;Data;Q1;QX;Q2;Real Score;Real Sign;PRED Score;PRED Sign;1X2 Outcome;Exact Score;U/O 2.5;GG/NG
La Liga;Real Madrid vs Celta de Vigo;07/12 21:00;-;-;-;0-2;2;1-0;1;LOSS;LOSS;UNDER;NG
La Liga;CA Osasuna vs Levante;08/12 21:00;-;-;-;2-0;1;0-1;2;LOSS;LOSS;UNDER;NG
Liga Portugal;Benfica vs Sporting;05/12 21:15;-;-;-;1-1;X;3-0;1;LOSS;LOSS;OVER;NG
Liga Portugal;Santa Clara vs Casa Pia;06/12 16:30;-;-;-;1-0;1;0-0;X;LOSS;LOSS;UNDER;NG
Liga Portugal;Avs FS vs Rio Ave;06/12 19:00;-;-;-;1-2;2;0-2;2;WIN;LOSS;UNDER;NG
Liga Portugal;Famalicão vs SC Braga;06/12 21:30;-;-;-;1-2;2;1-0;1;LOSS;LOSS;UNDER;NG
Liga Portugal;Estoril vs Moreirense;07/12 16:30;-;-;-;3-3;X;2-0;1;LOSS;LOSS;UNDER;NG
Liga Portugal;Alverca vs Nacional;07/12 19:00;-;-;-;1-0;1;1-1;X;LOSS;LOSS;UNDER;GG
Liga Portugal;Estrela Amadora vs Arouca;07/12 19:00;-;-;-;3-1;1;2-0;1;WIN;LOSS;UNDER;NG
Liga Portugal;Tondela vs FC Porto;07/12 21:30;-;-;-;0-2;2;0-3;2;WIN;LOSS;OVER;NG
Liga Portugal;Vit. Guimarães vs Gil Vicente;08/12 21:30;-;-;-;0-0;X;0-3;2;LOSS;LOSS;OVER;NG
Ligue 1;Brest vs Monaco;05/12 19:00;3.4;3.7;2.0;1-0;1;0-5;2;LOSS;LOSS;OVER;NG
Ligue 1;Lille vs Marsiglia;05/12 21:00;2.4;3.5;2.7;1-0;1;3-1;1;WIN;LOSS;OVER;GG
Ligue 1;FC Nantes vs Lens;06/12 17:00;-;-;-;1-2;2;0-6;2;WIN;LOSS;OVER;NG
Ligue 1;Tolosa vs Strasburgo;06/12 19:00;2.3;3.4;3.0;1-0;1;0-3;2;LOSS;LOSS;OVER;NG
Ligue 1;PSG vs Stade Rennes;06/12 21:05;-;-;-;5-0;1;3-0;1;WIN;LOSS;OVER;NG
Ligue 1;Nizza vs Angers SCO;07/12 15:00;-;-;-;0-1;2;0-0;X;LOSS;LOSS;UNDER;NG
Ligue 1;Le Havre vs Paris FC;07/12 17:15;2.88;3.3;2.3;0-0;X;0-3;2;LOSS;LOSS;OVER;NG
Ligue 1;AJ Auxerre vs Metz;07/12 17:15;2.0;3.4;3.5;3-1;1;0-1;2;LOSS;LOSS;UNDER;NG
Ligue 1;Lorient vs Olymp. Lione;07/12 20:45;-;-;-;1-0;1;5-0;1;WIN;LOSS;OVER;NG
Premier League;Aston Villa vs Arsenal;06/12 13:30;4.33;3.5;1.8;2-1;1;2-3;2;LOSS;LOSS;OVER;GG
Premier League;Bournemouth vs Chelsea;06/12 16:00;2.9;3.5;2.25;0-0;X;1-3;2;LOSS;LOSS;OVER;GG
Premier League;Everton vs Nott'm Forest;06/12 16:00;-;-;-;3-0;1;2-0;1;WIN;LOSS;UNDER;NG
Premier League;Man City vs Sunderland;06/12 16:00;-;-;-;3-0;1;1-1;X;LOSS;LOSS;UNDER;GG
Premier League;Newcastle vs Burnley;06/12 16:00;1.27;5.0;11.0;2-1;1;0-3;2;LOSS;LOSS;OVER;NG
Premier League;Tottenham vs Brentford;06/12 16:00;2.05;3.5;3.4;2-0;1;2-0;1;WIN;WIN;UNDER;NG
Premier League;Leeds vs Liverpool;06/12 18:30;4.33;3.75;1.73;3-3;X;0-2;2;LOSS;LOSS;UNDER;NG
Premier League;Brighton vs West Ham Utd.;07/12 15:00;-;-;-;1-1;X;1-1;X;WIN;WIN;UNDER;GG
Premier League;FC Fulham vs Crystal Palace;07/12 17:30;-;-;-;1-2;2;0-3;2;WIN;LOSS;OVER;NG
Premier League;Wolverhampton vs Manchester Utd.;08/12 21:00;-;-;-;1-4;2;1-0;1;LOSS;LOSS;UNDER;NG
Serie A;Sassuolo vs Fiorentina;06/12 15:00;2.55;3.2;2.7;3-1;1;2-3;2;LOSS;LOSS;OVER;GG
Serie A;Inter vs Como;06/12 18:00;1.44;4.1;7.0;4-0;1;5-3;1;WIN;LOSS;OVER;GG
Serie A;Verona vs Atalanta;06/12 20:45;5.0;3.5;1.75;3-1;1;1-2;2;LOSS;LOSS;OVER;GG
Serie A;Cremonese vs Lecce;07/12 12:30;2.25;3.0;3.3;2-0;1;4-2;1;WIN;LOSS;OVER;GG
Serie A;Cagliari vs Roma;07/12 15:00;5.5;3.3;1.7;1-0;1;2-0;1;WIN;LOSS;UNDER;NG
Serie A;Lazio vs Bologna;07/12 18:00;2.8;3.0;2.6;1-1;X;0-2;2;LOSS;LOSS;UNDER;NG
Serie A;Napoli vs Juventus;07/12 20:45;2.3;3.1;3.1;2-1;1;2-2;X;LOSS;LOSS;OVER;GG
Serie A;Pisa vs Parma;08/12 15:00;2.4;3.0;3.1;0-1;2;0-1;2;WIN;WIN;UNDER;NG
Serie A;Udinese vs Genoa;08/12 18:00;2.2;3.0;3.5;1-2;2;0-4;2;WIN;LOSS;OVER;NG
Serie A;Torino vs Milan;08/12 20:45;5.0;3.4;1.73;2-3;2;1-0;1;LOSS;LOSS;UNDER;NG
Serie B;Empoli vs Palermo;07/12 17:15;3.05;3.2;2.25;1-3;2;1-1;X;LOSS;LOSS;UNDER;GG
Serie B;Sampdoria vs Carrarese;07/12 19:30;2.1;3.2;3.5;3-2;1;0-1;2;LOSS;LOSS;UNDER;NG
