date,tipo,pronostico,source,gruppo,quota,probabilita_stimata,prob_calibrata,stake,stake_kelly_cal_0.25,delta_vs_kelly_cal_0.25,esito,pl
2026-02-20,GOL,Under 2.5,A,A,1.83,53.8,67.9245283018868,3,7,-4,True,0.83
2026-02-21,SEGNO,2,C,C,4.75,40.0,41.86046511627907,3,7,-4,False,-2.0
2026-02-22,GOL,Under 2.5,A,A,1.8,55.8,67.9245283018868,3,7,-4,True,0.8
2026-02-25,GOL,Under 2.5,A,A,1.5,72.4,77.41433021806854,4,8,-4,True,2.0
2026-02-28,DOPPIA_CHANCE,1X,A+S,A+S,1.37,53.0,84.75,6,10,-4,False,-1.0
2026-02-28,DOPPIA_CHANCE,X2,A+S,A+S,1.41,54.3,84.75,6,10,-4,True,0.41
2026-03-01,GOL,Goal,C,C,2.05,72.0,69.44444444444444,6,10,-4,True,5.25
2026-03-01,GOL,Goal,C,C,2.05,83.0,65.09803921568627,4,8,-4,True,8.4
2026-03-04,GOL,Under 2.5,A,A,1.5,71.9,77.41433021806854,4,8,-4,True,2.0
2026-03-07,DOPPIA_CHANCE,X2,A+S,A+S,1.4,54.9,84.75,6,10,-4,True,0.4
2026-03-07,DOPPIA_CHANCE,X2,A+S,A+S,1.43,53.2,84.75,6,10,-4,True,0.43
2026-03-07,GOL,MG 3-5,C_mg,C-derivati,1.87,61.7,64.58333333333334,2,6,-4,False,-1.0
2026-03-08,GOL,MG 1-2,C_mg,C-derivati,1.57,55.9,72.46376811594203,2,6,-4,True,0.57
2026-03-12,SEGNO,2,C,C,5.75,40.0,41.86046511627907,3,7,-4,True,9.5
2026-03-14,DOPPIA_CHANCE,X2,A+S,A+S,1.44,57.1,84.75,6,10,-4,True,0.44
2026-03-15,DOPPIA_CHANCE,1X,A+S,A+S,1.36,55.3,84.75,6,10,-4,True,0.36
2026-03-15,GOL,MG 1-2,C_mg,C-derivati,1.56,56.5,72.46376811594203,2,6,-4,False,-1.0
2026-03-15,GOL,MG 1-2,C_mg,C-derivati,1.56,56.5,72.46376811594203,2,6,-4,False,-1.0
2026-03-22,DOPPIA_CHANCE,X2,A+S,A+S,1.4,53.7,84.75,6,10,-4,False,-1.0
2026-03-22,DOPPIA_CHANCE,X2,C_screm,C-derivati,1.74,56.0,67.85714285714286,2,6,-4,False,-1.0
2026-03-23,GOL,Goal,C,C,2.2,73.0,69.44444444444444,6,10,-4,True,7.2
2026-04-03,SEGNO,2,C,C,4.8,40.0,41.86046511627907,3,7,-4,False,-3.0
2026-04-05,SEGNO,2,C,C,5.75,40.0,41.86046511627907,3,7,-4,False,-3.0
2026-04-11,GOL,Goal,A+S_o25_s6_conv,A+S,1.65,70.0,69.04761904761905,1,5,-4,False,-1.0
2026-04-11,GOL,NoGoal,C_combo96_dc_s4_conv,C-derivati,2.3,70.0,55.12820512820513,1,5,-4,False,-1.0
2026-04-11,GOL,Over 3.5,C,C,1.9,76.0,69.44444444444444,5,9,-4,True,4.5
2026-04-11,SEGNO,1,C,C,3.09,68.0,59.32203389830508,6,10,-4,True,12.54
2026-04-13,GOL,NoGoal,C_combo96_dc_s4_conv,C-derivati,2.35,70.0,55.12820512820513,1,5,-4,True,1.35
2026-04-13,GOL,NoGoal,C_screm_dc_s4_conv,C-derivati,2.25,70.0,55.12820512820513,1,5,-4,False,-1.0
2026-04-13,SEGNO,2,C,C,4.75,48.0,41.86046511627907,3,7,-4,False,-3.0
2026-02-21,GOL,MG 3-5,C_mg,C-derivati,1.63,53.9,72.46376811594203,4,7,-3,True,0.63
2026-02-26,DOPPIA_CHANCE,X2,C_screm,C-derivati,2.52,53.0,67.85714285714286,7,10,-3,False,-1.0
2026-02-26,GOL,Under 2.5,A,A,1.7,52.3,67.9245283018868,3,6,-3,True,0.7
2026-03-01,GOL,MG 2-3,C_mg,C-derivati,1.88,46.7,62.7536231884058,2,5,-3,True,0.88
2026-03-01,GOL,Over 1.5,C_screm,C-derivati,1.48,55.0,72.46376811594203,1,4,-3,True,0.48
