date,stake,stake_kelly_dich_0.1,stake_kelly_dich_0.25,stake_kelly_cal_0.1,stake_kelly_cal_0.25
2026-04-02,1766.9500000000005,872.4700000000003,1401.3800000000008,483.65000000000043,1192.7100000000003
2026-04-02,1791.4500000000005,875.9700000000003,1404.8800000000008,487.15000000000043,1196.2100000000003
2026-04-02,1828.2000000000005,881.2200000000003,1410.1300000000008,502.90000000000043,1227.7100000000003
2026-04-02,1824.2000000000005,879.2200000000003,1402.1300000000008,500.90000000000043,1225.7100000000003
2026-04-02,1743.2000000000005,843.2200000000003,1312.1300000000008,491.90000000000043,1216.7100000000003
2026-04-02,1707.2000000000005,837.2200000000003,1294.1300000000008,485.90000000000043,1210.7100000000003
2026-04-02,1706.2000000000005,831.2200000000003,1284.1300000000008,484.90000000000043,1209.7100000000003
2026-04-02,1738.2000000000005,847.2200000000003,1320.1300000000008,488.90000000000043,1213.7100000000003
2026-04-02,1734.2000000000005,845.2200000000003,1318.1300000000008,486.90000000000043,1211.7100000000003
2026-04-02,1749.7200000000005,856.8600000000002,1345.2900000000009,490.7800000000004,1219.4700000000003
2026-04-03,1814.7200000000005,869.8600000000002,1384.2900000000009,497.2800000000004,1225.9700000000003
2026-04-03,1813.7200000000005,863.8600000000002,1374.2900000000009,496.2800000000004,1223.9700000000003
2026-04-03,1812.7200000000005,862.8600000000002,1373.2900000000009,495.2800000000004,1221.9700000000003
2026-04-03,1776.7200000000005,856.8600000000002,1367.2900000000009,489.2800000000004,1215.9700000000003
2026-04-03,1695.7200000000005,847.8600000000002,1340.2900000000009,480.2800000000004,1206.9700000000003
2026-04-03,1719.8400000000004,851.8800000000002,1344.3100000000009,488.32000000000045,1227.0700000000002
2026-04-03,1670.8400000000004,844.8800000000002,1337.3100000000009,481.32000000000045,1220.0700000000002
2026-04-03,1661.8400000000004,841.8800000000002,1334.3100000000009,478.32000000000045,1217.0700000000002
2026-04-03,1652.8400000000004,835.8800000000002,1316.3100000000009,469.32000000000045,1199.0700000000002
2026-04-03,1656.5600000000004,837.7400000000002,1323.750000000001,471.18000000000046,1200.93
2026-04-03,1631.5600000000004,832.7400000000002,1318.750000000001,466.18000000000046,1195.93
2026-04-03,1630.5600000000004,831.7400000000002,1317.750000000001,465.18000000000046,1194.93
2026-04-03,1621.5600000000004,828.7400000000002,1314.750000000001,462.18000000000046,1191.93
2026-04-03,1656.3900000000003,832.6100000000002,1318.6200000000008,466.05000000000047,1195.8
2026-04-03,1652.3900000000003,824.6100000000002,1298.6200000000008,464.05000000000047,1193.8
2026-04-03,1681.7900000000004,828.8100000000003,1302.8200000000008,468.25000000000045,1198.0
2026-04-03,1672.7900000000004,825.8100000000003,1299.8200000000008,465.25000000000045,1189.0
2026-04-03,1636.7900000000004,795.8100000000003,1239.8200000000008,459.25000000000045,1165.0
2026-04-03,1587.7900000000004,767.8100000000003,1169.8200000000008,431.25000000000045,1095.0
2026-04-03,1538.7900000000004,760.8100000000003,1162.8200000000008,424.25000000000045,1088.0
2026-04-03,1534.7900000000004,750.8100000000003,1142.8200000000008,422.25000000000045,1086.0
2026-04-03,1498.7900000000004,744.8100000000003,1136.8200000000008,416.25000000000045,1080.0
2026-04-03,1473.7900000000004,739.8100000000003,1131.8200000000008,411.25000000000045,1075.0
2026-04-03,1464.7900000000004,733.8100000000003,1113.8200000000008,402.25000000000045,1054.0
2026-04-03,1481.9400000000005,736.2600000000003,1116.270000000001,404.70000000000044,1056.45
2026-04-03,1509.8700000000006,740.2500000000003,1120.260000000001,408.69000000000045,1068.42
2026-04-03,1493.8700000000006,736.2500000000003,1108.260000000001,404.69000000000045,1064.42
2026-04-03,1457.8700000000006,730.2500000000003,1102.260000000001,398.69000000000045,1058.42
2026-04-03,1510.8700000000006,756.7500000000003,1155.260000000001,403.99000000000046,1063.72
2026-04-03,1501.8700000000006,747.7500000000003,1131.260000000001,400.99000000000046,1057.72
2026-04-03,1520.4900000000005,750.4100000000003,1133.920000000001,403.6500000000005,1060.38
2026-04-03,1536.4900000000005,754.4100000000003,1137.920000000001,407.6500000000005,1072.38
2026-04-03,1535.4900000000005,751.4100000000003,1131.920000000001,404.6500000000005,1066.38
2026-04-03,1555.2900000000004,754.7100000000003,1135.220000000001,407.9500000000005,1069.68
2026-04-03,1562.0400000000004,761.4600000000003,1148.720000000001,410.2000000000005,1071.93
2026-04-03,1577.0400000000004,770.4600000000003,1172.720000000001,413.2000000000005,1074.93
2026-04-03,1577.8800000000003,771.3000000000003,1173.5600000000009,414.0400000000005,1075.77
2026-04-03,1541.8800000000003,765.3000000000003,1167.5600000000009,408.0400000000005,1069.77
2026-04-03,1556.3800000000003,768.2000000000003,1170.460000000001,410.94000000000045,1072.67
2026-04-03,1572.5800000000004,770.9000000000003,1173.160000000001,413.64000000000044,1075.3700000000001
2026-04-03,1589.7300000000005,773.3500000000004,1175.610000000001,416.09000000000043,1077.8200000000002
2026-04-03,1652.7300000000005,825.8500000000004,1280.610000000001,437.09000000000043,1119.8200000000002
2026-04-03,1648.7300000000005,823.8500000000004,1276.610000000001,435.09000000000043,1117.8200000000002
2026-04-03,1652.0600000000004,833.8400000000004,1296.590000000001,441.75000000000045,1137.8000000000002
2026-04-03,1636.0600000000004,829.8400000000004,1292.590000000001,437.75000000000045,1133.8000000000002
2026-04-03,1627.0600000000004,814.8400000000004,1262.590000000001,425.75000000000045,1103.8000000000002
2026-04-03,1527.0600000000004,794.8400000000004,1212.590000000001,415.75000000000045,1063.8000000000002
2026-04-03,1617.0600000000004,803.8400000000004,1230.590000000001,442.75000000000045,1135.8000000000002
2026-04-03,1536.0600000000004,776.8400000000004,1158.590000000001,433.75000000000045,1126.8000000000002
2026-04-03,1559.0900000000004,780.1300000000003,1161.880000000001,437.0400000000005,1130.0900000000001
2026-04-03,1565.3900000000003,784.3300000000004,1172.380000000001,439.1400000000005,1132.19
2026-04-03,1484.3900000000003,766.3300000000004,1127.380000000001,430.1400000000005,1123.19
2026-04-03,1494.3900000000003,768.3300000000004,1129.380000000001,432.1400000000005,1125.19
2026-04-03,1548.7900000000004,775.1300000000003,1149.780000000001,438.9400000000005,1145.5900000000001
2026-04-03,1573.9900000000005,787.7300000000004,1179.1800000000012,443.1400000000005,1149.7900000000002
2026-04-03,1577.0700000000004,789.2700000000003,1183.800000000001,444.6800000000005,1151.3300000000002
2026-04-03,1561.0700000000004,777.2700000000003,1151.800000000001,428.6800000000005,1111.3300000000002
2026-04-03,1560.0700000000004,776.2700000000003,1150.800000000001,427.6800000000005,1110.3300000000002
2026-04-03,1561.2000000000005,777.4000000000003,1151.9300000000012,428.8100000000005,1114.8500000000001
2026-04-03,1572.2400000000005,780.1600000000003,1154.6900000000012,434.3300000000005,1128.65
2026-04-03,1575.8400000000004,781.3600000000004,1155.8900000000012,435.5300000000005,1129.8500000000001
2026-04-03,1579.8400000000004,793.3600000000004,1187.8900000000012,447.5300000000005,1157.8500000000001
2026-04-03,1584.7900000000004,795.0100000000003,1191.1900000000012,449.18000000000046,1159.5000000000002
2026-04-03,1609.9900000000005,811.8100000000003,1228.9900000000011,461.7800000000005,1184.7000000000003
2026-04-03,1528.9900000000005,766.8100000000003,1138.9900000000011,443.7800000000005,1139.7000000000003
2026-04-03,1512.9900000000005,754.8100000000003,1106.9900000000011,435.7800000000005,1119.7000000000003
2026-04-04,1412.9900000000005,704.8100000000003,1006.9900000000011,425.7800000000005,1099.7000000000003
2026-04-04,1312.9900000000005,694.8100000000003,996.9900000000011,415.7800000000005,1089.7000000000003
2026-04-04,1313.5400000000004,695.9100000000003,999.7400000000011,416.3300000000005,1090.2500000000002
2026-04-04,1333.1400000000003,698.7100000000003,1002.5400000000011,419.1300000000005,1093.0500000000002
2026-04-04,1284.1400000000003,691.7100000000003,995.5400000000011,412.1300000000005,1086.0500000000002
2026-04-04,1184.1400000000003,651.7100000000003,895.5400000000011,402.1300000000005,1046.0500000000002
2026-04-04,1103.1400000000003,624.7100000000003,823.5400000000011,393.1300000000005,1037.0500000000002
2026-04-04,1103.8400000000004,628.2100000000003,830.5400000000011,395.23000000000053,1042.65
2026-04-04,1126.8700000000003,631.5000000000002,837.1200000000011,398.52000000000055,1045.94
2026-04-04,1128.3900000000003,632.2600000000002,837.8800000000011,399.28000000000054,1046.7
2026-04-04,1141.6400000000003,640.2100000000003,859.0800000000012,401.9300000000005,1049.3500000000001
2026-04-04,1140.6400000000003,636.2100000000003,849.0800000000012,400.9300000000005,1047.3500000000001
2026-04-04,1141.4400000000003,638.6100000000002,855.4800000000012,401.73000000000053,1048.15
2026-04-04,1142.0100000000002,639.7500000000002,857.7600000000011,402.3000000000005,1048.72
2026-04-04,1117.0100000000002,634.7500000000002,852.7600000000011,397.3000000000005,1043.72
2026-04-04,1081.0100000000002,616.7500000000002,810.7600000000011,385.3000000000005,1007.72
2026-04-04,1128.0100000000002,621.4500000000003,815.4600000000012,390.0000000000005,1012.4200000000001
2026-04-04,1119.0100000000002,615.4500000000003,800.4600000000012,387.0000000000005,1009.4200000000001
2026-04-04,1118.0100000000002,614.4500000000003,799.4600000000012,386.0000000000005,1008.4200000000001
2026-04-04,1120.6900000000003,615.7900000000003,800.8000000000012,387.3400000000005,1009.7600000000001
2026-04-04,1127.8900000000003,617.5900000000003,802.6000000000012,389.1400000000005,1011.5600000000001
2026-04-04,1078.8900000000003,596.5900000000003,746.6000000000012,368.1400000000005,955.5600000000001
2026-04-04,1118.5700000000004,601.5500000000003,751.5600000000012,373.1000000000005,960.5200000000001
2026-04-04,1150.9700000000005,605.1500000000003,755.1600000000012,376.7000000000005,964.1200000000001
2026-04-04,1134.9700000000005,601.1500000000003,751.1600000000012,372.7000000000005,960.1200000000001
2026-04-04,1143.9700000000005,604.1500000000003,754.1600000000012,375.7000000000005,963.1200000000001
2026-04-04,1148.2000000000005,605.5600000000003,755.5700000000012,377.1100000000005,964.5300000000001
2026-04-04,1168.9500000000005,622.1600000000003,797.0700000000012,389.5600000000005,997.7300000000001
2026-04-04,1229.7000000000005,642.4100000000003,837.5700000000012,396.3100000000005,1004.4800000000001
2026-04-04,1230.4000000000005,644.5100000000003,842.4700000000012,397.0100000000005,1005.1800000000002
2026-04-04,1277.4000000000005,649.2100000000004,847.1700000000012,401.7100000000005,1009.8800000000002
2026-04-04,1276.4000000000005,648.2100000000004,845.1700000000012,400.7100000000005,1008.8800000000002
2026-04-04,1336.4000000000005,684.2100000000004,905.1700000000012,406.7100000000005,1014.8800000000002
2026-04-04,1352.9600000000005,686.9700000000004,907.9300000000012,409.4700000000005,1017.6400000000002
2026-04-04,1316.9600000000005,674.9700000000004,877.9300000000012,403.4700000000005,1005.6400000000002
2026-04-04,1317.6600000000005,675.6700000000004,880.0300000000012,404.17000000000047,1007.7400000000002
2026-04-04,1316.6600000000005,672.6700000000004,872.0300000000012,400.17000000000047,997.7400000000002
2026-04-04,1315.6600000000005,668.6700000000004,862.0300000000012,399.17000000000047,993.7400000000002
2026-04-04,1353.7300000000005,672.9000000000004,866.2600000000012,403.4000000000005,1006.4300000000003
2026-04-04,1304.7300000000005,665.9000000000004,859.2600000000012,396.4000000000005,999.4300000000003
2026-04-04,1362.2300000000005,688.9000000000004,928.2600000000012,419.4000000000005,1045.4300000000003
2026-04-04,1410.0200000000004,694.2100000000004,944.1900000000012,424.7100000000005,1050.7400000000002
2026-04-04,1410.7200000000005,697.7100000000004,951.1900000000012,426.8100000000005,1056.3400000000001
2026-04-04,1394.7200000000005,693.7100000000004,947.1900000000012,422.8100000000005,1052.3400000000001
2026-04-04,1396.6400000000006,694.6700000000004,948.1500000000012,423.7700000000005,1053.3000000000002
2026-04-04,1315.6400000000006,676.6700000000004,894.1500000000012,414.7700000000005,1044.3000000000002
2026-04-04,1531.9100000000005,820.8500000000004,1134.4500000000012,486.86000000000047,1212.5100000000002
2026-04-04,1530.9100000000005,816.8500000000004,1125.4500000000012,485.86000000000047,1211.5100000000002
2026-04-04,1529.9100000000005,811.8500000000004,1115.4500000000012,482.86000000000047,1202.5100000000002
2026-04-04,1535.5100000000004,816.0500000000004,1126.6500000000012,484.26000000000045,1203.9100000000003
2026-04-04,1519.5100000000004,812.0500000000004,1122.6500000000012,480.26000000000045,1199.9100000000003
2026-04-04,1455.5100000000004,796.0500000000004,1082.6500000000012,464.26000000000045,1159.9100000000003
2026-04-05,1548.3100000000004,854.0500000000004,1198.6500000000012,475.86000000000047,1171.5100000000002
2026-04-05,2038.3100000000004,1204.0500000000004,1898.6500000000012,825.8600000000005,1871.5100000000002
2026-04-05,2163.26,1257.6000000000004,2059.300000000001,932.9600000000005,2050.01
2026-04-05,2164.13,1261.0800000000004,2068.000000000001,933.8300000000005,2050.88
2026-04-05,2083.13,1225.0800000000004,1978.000000000001,924.8300000000005,2014.88
2026-04-05,2104.73,1235.8800000000003,2006.8000000000009,932.0300000000005,2032.88
2026-04-05,2023.73,1190.8800000000003,1916.8000000000009,923.0300000000005,1996.88
2026-04-05,2022.73,1188.8800000000003,1910.8000000000009,922.0300000000005,1995.88
2026-04-05,1922.73,1178.8800000000003,1900.8000000000009,912.0300000000005,1985.88
2026-04-05,1934.6100000000001,1182.8400000000004,1904.760000000001,919.9500000000005,2005.68
2026-04-05,1925.6100000000001,1173.8400000000004,1883.760000000001,910.9500000000005,1984.68
2026-04-05,1932.0100000000002,1175.4400000000003,1885.3600000000008,912.5500000000005,1986.28
2026-04-05,1944.6100000000001,1177.5400000000002,1887.4600000000007,914.6500000000005,1988.3799999999999
2026-04-05,1946.3300000000002,1177.9700000000003,1887.8900000000008,915.0800000000005,1988.81
2026-04-05,1897.3300000000002,1170.9700000000003,1880.8900000000008,908.0800000000005,1981.81
2026-04-05,1848.3300000000002,1163.9700000000003,1873.8900000000008,901.0800000000005,1974.81
2026-04-05,1868.13,1170.5700000000002,1893.6900000000007,904.3800000000005,1984.71
2026-04-05,1907.17,1185.2100000000003,1927.8500000000008,909.2600000000004,1989.5900000000001
2026-04-05,1922.65,1187.7900000000002,1930.4300000000007,911.8400000000005,1992.17
2026-04-05,1913.65,1184.7900000000002,1927.4300000000007,908.8400000000005,1989.17
2026-04-05,1914.25,1185.9900000000002,1930.4300000000007,910.0400000000005,1991.5700000000002
2026-04-05,1915.12,1189.4700000000003,1938.2600000000007,910.9100000000005,1992.44
2026-04-05,1914.12,1188.4700000000003,1935.2600000000007,909.9100000000005,1989.44
2026-04-05,1913.12,1184.4700000000003,1925.2600000000007,908.9100000000005,1987.44
2026-04-05,1913.6899999999998,1185.0400000000002,1925.8300000000006,909.4800000000006,1988.01
2026-04-05,1888.6899999999998,1175.0400000000002,1895.8300000000006,904.4800000000006,1983.01
2026-04-05,1839.6899999999998,1161.0400000000002,1853.8300000000006,883.4800000000006,1927.01
2026-04-05,1843.09,1162.7400000000002,1855.5300000000007,885.1800000000006,1930.41
2026-04-05,1807.09,1150.7400000000002,1825.5300000000007,879.1800000000006,1912.41
